Quest ID,Name
101,Jagras of the Ancient Forest
102,A Kestodon Kerfuffle
103,The Great Jagras Hunt
151,Butting Heads with Nature
152,A Thicket of Thugs
153,Fungal Flexin' in the Ancient Forest
201,Bird-Brained Bandit
205,Urgent: Pukei-Pukei Hunt
251,The Great Glutton
252,Camp Crasher
261,Snatch the Snatcher
262,The Pain from Gains
263,Exterminator of the Waste
301,The Best Kind of Quest
302,Sinister Shadows in the Swamp
305,Flying Sparks: Tobi-Kadachi
306,The Encroaching Anjanath
351,Scatternut Shortage
352,The Current Situation
361,Mired in the Spire
362,The Piscine Problem
363,Prickly Predicament
364,Gettin' Yolked in the Waste
365,Landing the Landslide Wyvern
331,Special Arena: Pukei-Pukei
332,Special Arena: Barroth
333,Special Arena: Tobi-Kadachi
401,One for the History Books
405,Ballooning Problems
407,Radobaan Roadblock
408,Legiana: Embodiment of Elegance
451,One Helluva Sinus Infection
452,Gettin' Yolked in the Forest
461,Royal Relocation
471,It's a Crying Shamos
472,A Tzitzi for Science
473,Sorry You're Not Invited
474,What a Bunch of Abalone
475,White Monster for a White Coat
481,Persistent Pests
482,A Rotten Thing To Do
483,A Bone to Pick
484,On Nightmare's Wings
431,Special Arena: Anjanath
432,Special Arena: Rathian
433,Special Arena: Paolumu
434,Special Arena: Radobaan
501,Into the Bowels of the Vale
502,A Fiery Throne Atop the Forest
503,Horned Tyrant Below the Sands
504,A Colossal Task
551,When Desire Becomes an Obsession
552,"Redefining the ""Power Couple"""
561,Twin Spires Upon the Sands
571,A Humid Headache
572,Gone in a Flash
581,Scratching the Itch
582,Man's Best Fiend
583,The Meat of the Matter
531,Special Arena: Legiana
532,Special Arena: Odogaron
533,Special Arena: Rathalos
534,Special Arena: Diablos
601,Invader in the Waste
605,Tickled Pink
607,Old World Monster in the New World
641,Left Quite the Impression
651,Hard to Swallow
652,Googly-eyed Green Monster
653,A Hair-Raising Experience
654,It Can't See You if You Don't Move
655,The Sleeping Sylvan Queen
656,Stuck in Their Ways
661,Keep Your Hands to Yourself!
662,A Crown of Mud and Anger
663,Pukei-Pukei Ambush
665,Up to Your Waist in the Waste
666,"Brown Desert, Green Queen"
667,Trespassing Troublemaker
671,Say Cheese!
672,Loop the Paolumu
681,A Tingling Taste
682,Stuck in a Rut
683,Chef Quest! Pumped to Deliver
684,Chef Quest! A Rotten Request
691,A Meow for Help
692,A Scalding Scoop
693,Dodogama Drama
694,Chef Quest! Gajalaka Lockdown
631,Special Arena: HR Pukei-Pukei
632,Special Arena: HR Barroth
633,Special Arena: HR Tobi-Kadachi
634,Special Arena: HR Anjanath
635,Special Arena: HR Rathian
636,Special Arena: HR Paolumu
637,Special Arena: HR Radobaan
701,A Wound and a Thirst
751,Rathalos Rematch
752,Rathalos in Blue
753,The Red and Blue Crew
761,Pretty In Pink
762,"Well, That Diablos!"
763,Two-horned Hostility
764,RRRRRumble in the Waste!
771,A Cherry Wind upon the Reefs
772,Legiana: Highlands Royalty
773,A Sore Site
774,Talons of Ire and Ice
781,Odogaron Unleashed
791,"Lavasioth, Monster of Magma"
792,Ore-eating Occupier
793,Ruler of the Azure Skies
794,Bazelgeuse in the Field of Fire
795,A Fiery Convergence
731,Special Arena: HR Pink Rathian
732,Special Arena: HR Legiana
733,Special Arena: HR Odogaron
734,Special Arena: HR Uragaan
735,Special Arena: HR Rathalos
736,Special Arena: HR Azure Rathalos
737,Special Arena: HR Diablos
738,Special Arena: HR Black Diablos
801,"Kushala Daora, Dragon of Steel"
802,Teostra the Infernal
803,Hellish Fiend Vaal Hazak
804,Land of Convergence
805,Beyond the Blasting Scales
806,Thunderous Rumble in the Highlands
851,A Portent of Disaster
861,A Blaze on the Sand
871,Lightning Strikes Twice
881,Stirrings from the Grave
891,The Eater of Elders
892,Master of the Gale
893,Hellfire's Stronghold
894,The Eater of Elders
895,The Winds of Wrath Bite Deep
896,The Fires of Hell Bite Deep
991,A Light Upon the River's Gloom
992,The White Winds of the New World
995,The Sapphire Star's Guidance
996,Showdown: the Muck and the Maul
997,"New World Sky, New World Flower"
998,A Summons from Below
3101,Arena Quest 01
3001,Arena Quest 02
3002,Arena Quest 03
3031,Arena Quest 04
3032,Arena Quest 05
3033,Arena Quest 06
3034,Arena Quest 07
3051,Arena Quest 08
3052,Arena Quest 09
5003,Troubled Troupers
30000,Unavailable
30001,Unavailable
30002,Unavailable
30003,Unavailable
30004,Unavailable
30005,Unavailable
30006,Unavailable
30007,Unavailable
30008,Unavailable
30009,Unavailable
50701,The Food Chain Dominator
50751,Today's Special: Hunter Flambé
50901,Banquet in the Earthen Hall
50801,The Blazing Sun
50802,Pandora's Arena
50803,"No Remorse, No Surrender"
50891,Blue Prominence
50892,Blue Prominence
50861,Infernal Monarchy
50601,A Visitor from Another World
50905,The Legendary Beast
50906,He Taketh It with His Eyes
50991,A Visitor from Eorzea
50902,The Fury of El Dorado
50910,Contract: Trouble in the Ancient Forest
1101,Baptism by Ice
1102,Banbaro Blockade
1201,Ready to Strike
1202,No Time for Naps
1203,Play Both Ends
1301,Blizzard Blitz
1302,Ever-present Shadow
1303,The Scorching Blade
1304,Absolute Power
1305,A Smashing Cross Counter
1306,A Tale of Ice and Fire
1401,When the Mist Taketh You
1405,The Thunderous Troublemaker!
1402,The Disintegrating Blade
1403,"Bad Friends, Great Enemies"
1404,The Defense of Seliana
1501,The Iceborne Wyvern
1502,The Second Coming
1503,Under the Veil of Death
1504,A Light From The Abyss
1601,"To The Guided, A Paean"
1602,Paean of Guidance
1391,Blast Warning In Effect!
1521,Clashing Swords Upon The Rime
1551,The Harbinger of Clear Skies
1552,Here Comes the Deathmaker
1561,Royal Audience on the Sand
1571,Lightning Crashes
1572,Memories of the Sea God
1591,Wings of the Wind
1592,Mark of the Sun
1121,Deep Snow Diver
1122,Taking Charge
1151,The Great Jagras Returns!
1152,New World Problems
1153,Beating Around the Bush
1161,Wildspire Treasure Hunt
1162,Dragged Through the Mud
1163,Jyura In My Way
1171,All the Wrong Signals
1181,Grinding my Girros
1191,Can't Bring Yourself To It
1131,Special Arena: MR Pukei-Pukei
1132,Special Arena: MR Barroth
1133,Special Arena: MR Tobi-Kadachi
1134,Special Arena: MR Banbaro
1221,Analysis Creates Paralysis
1251,Anjanath Antics
1261,A Queen At Heart
1262,A Face Nightmares Are Made Of
1271,The Plight of Paolumu
1272,Pink Power Grab
1273,Protip: Stay Hydrated
1281,No Laughing Matter
1231,Special Arena: MR Anjanath
1232,Special Arena: MR Radobaan
1233,Special Arena: MR Coral Pukei-Pukei
1234,Special Arena: MR Viper Tobi-Kadachi
1235,Special Arena: MR Rathian
1236,Special Arena: MR Pink Rathian
1237,Special Arena: MR Paolumu
1238,Special Arena: MR Nightshade Paolumu
1321,Remember That One Time?
1351,Swoop to a New Low
1352,"Nargacoulda, Shoulda, Woulda"
1361,A Line in the Sand
1362,A Flash of the Blade
1371,Legiana Left Behind
1381,Don't be a Jerk with the Jerky
1382,A Roar that Shook the Vale
1392,Everyone's a Critic
1393,Begone Uragaan
1394,Secret of the Ooze
1331,Special Arena: MR Legiana
1332,Special Arena: MR Odogaron
1333,Special Arena: MR Uragaan
1334,Special Arena: MR Rathalos
1335,Special Arena: MR Diablos
1336,Special Arena: MR Barioth
1337,Special Arena: MR Nargacuga
1338,Special Arena: MR Glavenus
1339,Special Arena: MR Brachydios
1340,Special Arena: MR Tigrex
1435,Special Arena: MR Fulgur Anjanath
1421,Noblefrost Hunter
1461,In the Heat of the Moment
1471,A Shadowy Offender
1481,This Corroded Blade
1491,Blue Rathalos Blues
1431,Special Arena: MR Azure Rathalos
1432,Special Arena: MR Black Diablos
1433,Special Arena: MR Acidic Glavenus
1434,Special Arena: MR Ebony Odogaron
1593,Seething with Anger
1641,Faraway Lorelei
241,Learning the Clutch
1224,By Our Powers Combined
1124,Call of the Wild
1125,Greetings from the Tundra
1123,Ice Catch!
1154,Literary Thief
1155,Trapping The Tree Trasher
1164,Taster's Tour
1192,This Here's Big Horn Country!
1222,Poison and Paralysis Pinch
1223,Boaboa Constrictor
1252,Fool's Mate
1253,Nighty Night Nightshade
1263,Stick Your Nose Somewhere Else
1264,Feisty Girl Talk
1274,Put That Red Cup Away
1282,Bugger Off Bugs!
1291,Looking For That Glimmer
1322,The Purr-fect Room: Stone
1323,Proud White Knight
1353,The Secret to a Good Slice
1354,Red and Black Aces
1363,Simmer and Slice!
1372,The Black Wind
1373,A Nasty Flesh Wound
1383,"Runnin', Rollin', and Weepin'"
1395,Festival of Explosions!
1422,Tundra Troublemaker
1423,Duet of Rime
1424,Treasure in the Steam
1451,These Azure Eyes See All
1452,Misfortune in the Forest
1462,Piercing Black
1482,The Purr-fect Room: Light Iron
1483,The Purr-fect Room: Dark Iron
1492,Trap the Thunder Jaw
1562,The Tyrant's Banquet
1581,It's the Afterlife for Me
1594,The Purr-fect Room: Silver
1642,Hymn of Moon and Sun
1651,The Storm Brings the Unexpected
1661,One Hot Night in the Spire
1671,Divine Surge
1691,Into the Palace of Flame
1692,Master Hunter of the New World
1631,We Run This Town
1632,Special Arena: MR Zinogre
1633,Special Arena: MR Yian Garuga
1634,Special Arena: MR Brute Tigrex
1635,Special Arena: MR Gold Rathian
1636,Special Arena: MR Silver Rathalos
961,Beyond the Blasting Scales
971,Thunderous Rumble in the Highlands
1603,Sleep Now in the Fire
1604,Big Burly Bash
1605,To the Very Ends with You
1606,Return of the Crazy One
3171,Arena Master Quest 01
3071,Arena Master Quest 02
3072,Arena Master Quest 03
3073,Arena Master Quest 04
3074,Arena Master Quest 05
3091,Arena Master Quest 06
3092,Arena Master Quest 07
1225,You Scratch Our Backs...
51602,Sterling Pride
51601,"Reveal Thyself, Destroyer"
61101,Up at the Crack of Dawn
61103,Where Sun Meets Moon
61104,Timberland Troublemakers
61105,Every Hunter's Dream
61601,Midnight Mayhem
61603,A Royal Pain
61604,Kings Know No Fear
61605,Mosswinin' and Dinin'
61606,The Greatest Jagras
61607,The Name's Lavasioth!
62502,The Deathly Quiet Curtain
62503,A Whisper of White Mane
62504,The Scorn of the Sun
62505,The Eye of the Storm
62506,The Heralds of Destruction Cry
62511,When Blue Dust Surpasses Red Lust
62515,Relish the Moment
62606,Undying Alpenglow
62607,Like a Moth to the Flame
62608,Gaze Upon the Dawn
62609,Keeper of the Otherworld
63001,Challenge Quest 1: Beginner
63002,Challenge Quest 2: Beginner
63003,Vespoid Infestation!
63004,"Down the Dark, Muddy Path"
63005,USJ Beginners Challenge!
63006,USJ Expert Challenge!
63007,USJ Beginners Challenge!
63008,USJ Expert Challenge!
63009,"Down the Dark, Muddy Path"
63031,Challenge Quest 1: Intermediate
63032,Challenge Quest 2: Intermediate
63033,Gajalaka Outbreak!
63034,The Awakened Satsui No Hado I
63035,The Awakened Satsui No Hado II
63036,The Awakened Satsui No Hado III
63037,Empress in Full Bloom I
63038,Empress in Full Bloom II
63039,Empress in Full Bloom III
63051,Challenge Quest 1: Expert
63052,Challenge Quest 2: Expert
63101,Nergigante Slay Event 1
63102,Nergigante Slay Event 2
63103,Nergigante Slay Event 3
63104,Gale & Fangs Slay Event 1
63105,Gale & Fangs Slay Event 2
63106,Gale & Fangs Slay Event 3
63107,Nergigante Slay Event 4
63108,Deviljho Slay Event
63109,The Best of the Best
63110,What Lurks In The Forest
63130,When Law Meets War
63131,The Hunter and The Blue Empress
64101,Wicked Wildspire Warfare
64601,Rollin' With The Uragaan
65601,Scrapping with the Shamos
65602,A Flash in the Pan
65603,Egg Lovers United
65604,Wiggle Me This
65605,Triple Threat Throwdown
65606,A Simple Task
65607,Tracking the Delivery
66101,Chew The Fat
66102,Ya-Ku With That?
66103,Flesh Cleaved to Bone
66104,Kirin The Myth
66105,The Poison Posse
66106,Greeting the Gluttons
66601,Deep Green Blues
66602,Wildspire Bolero
66603,Coral Waltz
66604,Effluvial Opera
66605,Rock N' Roll Recess
66606,This is How Revolts Start
66607,Snow & Cherry Blossoms
66608,A Nose for an Eye
66609,No Tomorrow for Usurpers
66610,The Thronetaker
67101,The Proving
67102,Lessons of the Wild
67103,A Rush of Blood
67105,USJ: Gold Star Treatment
67106,USJ: Gold Star Treatment
67603,USJ Blazing Azure Stars!
67604,USJ Blazing Azure Stars!
67605,Code: Red
67606,A Visitor from Eorzea (Extreme)
67607,The Heart of the Nora
67608,"SDF: Silent, Deadly, and Fierce"
67610,Contract: Woodland Spirit
61801,Pearl Snatchers
61811,Flora Frostbite
61812,Beef is Never a Mi-steak
61813,50 Shades of White
61814,A Shocking Climax
63071,Challenge Quest 1: MR Intermediate
63073,Challenge Quest 1: MR Expert
63142,Farewell to the Frozen
64801,Balloon Fight
64802,Talk About a Party Foul...
66801,Trophy Fishin'
66802,The Lord of the Underworld Beckons
66803,A Bunch of Sticks in the Mud
66804,Desert Desserts
66805,A New Troublemaker in Town
66806,Colorful Carnival
66807,Hunter-Blunderer
66808,A Sky & Sea of Fire
66809,A Curious Experiment
66810,Soaked and Shivering
66811,Fired-Up Bruisers
66812,The Desert Dash
66813,In the Depths of the Forest
66814,Servants of the Vale
66815,We Three Kings
66816,The Winter Blues
66817,A Reason Behind The Hunger